City,PG Name,Nearby College,Address,Rent (INR/Month),Room Type,Amenities,Distance to College (km),Rating,Reviews,Contact,Nearby Companies,Nearby Locations,PG Type,Vacancy Status,Meals Included,Meal Charges,Electricity Charges,Room Size (sq.ft),Public Transport Access,Gym,Wi-Fi Speed,Payment Frequency,Advance Payment Required,Security Features,Social Events
Coimbatore,Johnson PLC,Coimbatore Institute of Technology,"21635 David Stravenue Suite 651
Brauntown, LA 92188",11544,Double,"Wi-Fi, Laundry",2.857363132088154,4.223572503996911,Player radio bag describe gas.,031-382-1547x9882,Gibson-Benton,Gaychester,Female-only,Not Available,Yes,1247,Included,140,Near metro station,Yes,100 Mbps,Quarterly,Yes,"CCTV, Guard at Night",Yes
Erode,Huynh LLC,Erode Arts and Science College,"4547 Robert Pines
Lake Jessica, IL 48650",13537,Double,"AC, Laundry, Parking",1.922359137416703,3.2620804875609233,Kitchen newspaper of describe have.,007-676-7625,Burke-King,Bellville,Male-only,Available,No,0,Not Included,145,Near metro station,Yes,100 Mbps,Quarterly,Yes,Security Guard,No
Tiruchirappalli,Chavez and Sons,National Institute of Technology Tiruchirappalli,"41670 Jorge Manors Suite 346
New Danielhaven, OH 49086",8167,Single,"AC, Laundry, Parking",2.4586996081256736,3.1183398027737694,Perform within feeling.,+1-595-916-8992x106,Yates Group,East Davidbury,Co-ed,Available,No,0,Not Included,149,5 min walk to bus stop,Yes,100 Mbps,Quarterly,No,Security Guard,Yes
Vellore,Hall-Allen,VIT Vellore,"432 Burgess Rest
Garcialand, UT 60029",9696,Double,"Wi-Fi, Laundry",1.0372932545210887,3.1030218664080444,Phone perhaps writer.,844.256.0983,Brown PLC,Port David,Co-ed,Not Available,Yes,2602,Not Included,188,Near metro station,No,100 Mbps,Monthly,No,Security Guard,No
Madurai,Sherman-Joseph,Tamil Nadu Medical University,"56884 Jackson Junction
Moralesside, IN 97530",11596,Single,"Wi-Fi, AC, Laundry, Kitchen",2.1203958223103374,4.890697451128558,Board everything development seem whatever with assume lot.,803-837-7857x61081,Castro Group,Port Jennifer,Co-ed,Not Available,No,0,Not Included,141,Near local train,Yes,50 Mbps,Monthly,Yes,Security Guard,Yes
Chennai,Berger and Sons,University of Madras,"3767 Forbes Parkway
Mistyshire, WA 08738",9614,Shared,"Wi-Fi, AC, Laundry, Kitchen",2.6347351494996887,3.3825975424911685,School indicate everyone trouble head investment.,124.466.9607x2898,"Edwards, Cox and Martinez",Bakerbury,Male-only,Available,Yes,1365,Not Included,171,Near local train,Yes,50 Mbps,Monthly,Yes,Security Guard,Yes
Vellore,Jimenez and Sons,VIT Vellore,"875 Sandy Vista
East Kristen, WY 14289",11402,Double,"Wi-Fi, AC, Laundry, Kitchen",2.5912221515928135,3.8552062684373243,Article remain a skin.,+1-265-888-4604x83722,Mcdonald-Miller,Keithview,Female-only,Not Available,Yes,1593,Not Included,117,5 min walk to bus stop,No,Unlimited,Quarterly,Yes,Security Guard,No
Vellore,Powers PLC,Vellore Institute of Technology University,"0271 Myers Street Suite 409
Johnsonfort, MD 07409",11918,Shared,"AC, Laundry, Parking",2.9986946576630658,3.095806598228184,View center successful nature trouble hot card.,+1-937-237-9598,"Ewing, Clark and Dean",East Jacob,Co-ed,Available,Yes,2089,Included,106,Near metro station,Yes,Unlimited,Quarterly,Yes,"CCTV, Guard at Night",Yes
Erode,"Johns, Johns and Garcia",The Gandhigram Rural Institute,"4596 Kirby Inlet
Lake Jackieland, VA 66740",6587,Single,"AC, Laundry, Parking",2.207134850682042,4.069733540004065,Car nor work.,943-162-3263,Hayes-Evans,East Jamesville,Male-only,Not Available,No,0,Not Included,119,5 min walk to bus stop,Yes,Unlimited,Monthly,No,Security Guard,No
Tiruchirappalli,Barber-Ruiz,Bharathidasan University,"384 Miller Cove
East Sarah, CO 44533",11463,Single,"Wi-Fi, Laundry",1.7101848188635946,3.9753704692182152,Cover summer gas drive.,+1-469-759-9035x6555,Parker-Reid,Michaelberg,Male-only,Not Available,Yes,1905,Included,199,5 min walk to bus stop,Yes,Unlimited,Monthly,No,Security Guard,No
Chennai,Galvan PLC,University of Madras,"USNV Dean
FPO AA 05797",14861,Shared,"AC, Laundry, Parking",3.8055141555923253,4.206867390256134,Mind herself father technology.,627-746-8812x355,"Garcia, Baxter and Clayton",Aguilarmouth,Co-ed,Available,Yes,1739,Included,143,5 min walk to bus stop,No,Unlimited,Quarterly,Yes,"CCTV, Guard at Night",Yes
Vellore,"Johnson, Beard and Ramos",VIT Vellore,"6654 Emily Cove
South Patrickfort, AK 33747",10723,Single,"Wi-Fi, Laundry",4.939705256738137,4.939872859790363,Say effect eight east close.,(079)771-6517x400,Reeves-Branch,West Daniel,Female-only,Not Available,No,0,Included,167,5 min walk to bus stop,Yes,100 Mbps,Monthly,Yes,"CCTV, Guard at Night",Yes
Chennai,"Scott, Rollins and Morris",University of Madras,"519 Boyd Shore
Port James, NV 13014",5458,Single,"Wi-Fi, AC, Laundry, Kitchen",4.831260241096306,4.694453896073216,Truth long president stage.,+1-198-482-1115x2567,Branch PLC,Robertfurt,Co-ed,Not Available,Yes,2658,Included,154,5 min walk to bus stop,No,100 Mbps,Quarterly,Yes,"CCTV, Guard at Night",Yes
Madurai,Figueroa Inc,Madurai Kamaraj University,"5389 Murphy Inlet
Williamsberg, CA 42015",13473,Single,"Wi-Fi, AC, Laundry, Kitchen",4.968004400411768,4.349323624069767,Focus two near.,001-518-645-1964,Todd-Davis,Michaeltown,Female-only,Not Available,No,0,Not Included,133,Near local train,Yes,50 Mbps,Monthly,No,Security Guard,No
Coimbatore,Peters-Robinson,PSG College of Technology,"249 Laura Well Apt. 043
Lake Dana, CT 87283",14746,Double,"Wi-Fi, Laundry",2.625815885033938,4.691879914156751,Water fight bad spring here whom suggest adult.,+1-805-862-3422x63103,"Johnson, Love and Bennett",Lake Jordanburgh,Female-only,Not Available,Yes,2452,Included,126,Near local train,Yes,100 Mbps,Monthly,Yes,Security Guard,Yes
Vellore,Hughes-Brown,VIT Vellore,"0413 Jessica Pass
Maryfort, AZ 86924",12195,Double,"Wi-Fi, Laundry",4.008875517079652,3.2336400140381025,Both apply perform company manage daughter real.,+1-043-028-5673x483,Davis Inc,Stephaniechester,Female-only,Available,No,0,Included,197,Near metro station,Yes,100 Mbps,Monthly,No,CCTV,No
Tiruchirappalli,"Graves, Hudson and Hill",National Institute of Technology Tiruchirappalli,"083 Sherry Divide
North Angela, MA 01135",7652,Single,"AC, Laundry, Parking",1.132800114133806,3.621579899749559,Dark eye easy religious.,145-995-3362,Mosley Ltd,Thompsonport,Male-only,Available,Yes,2999,Not Included,174,5 min walk to bus stop,Yes,50 Mbps,Monthly,Yes,CCTV,No
Erode,Thomas-Keith,The Gandhigram Rural Institute,"03978 Alexander Plains
South Jessica, UT 17879",8329,Single,"Wi-Fi, Laundry",4.156531930720616,4.691641057583382,Throw organization career reality rock.,+1-370-790-1733x4310,"Patterson, Ortiz and Douglas",Lake Rachel,Female-only,Not Available,No,0,Included,110,Near local train,Yes,Unlimited,Monthly,No,Security Guard,Yes
Erode,"Gonzalez, Black and Kelly",Erode Arts and Science College,"0104 Logan Extensions
New Catherinefort, AL 08530",5842,Single,"Wi-Fi, AC, Laundry, Kitchen",1.7694207987484578,3.2368315604842364,Together manage collection record.,660.763.3050x494,Hall LLC,West Jacobstad,Female-only,Not Available,Yes,1173,Included,137,5 min walk to bus stop,Yes,100 Mbps,Quarterly,No,CCTV,Yes
Salem,"Hudson, Nguyen and Abbott",Dr. G.R. Damodaran College of Science,"941 Murphy Prairie Suite 714
South Johnton, MT 28256",9580,Single,"Wi-Fi, AC, Laundry, Kitchen",4.4383393191160225,4.779146599848216,Specific minute matter better central.,001-069-750-5583x313,"Lawrence, Solomon and Gonzalez",Savageville,Female-only,Available,No,0,Included,183,5 min walk to bus stop,No,100 Mbps,Quarterly,No,"CCTV, Guard at Night",No
Chennai,"Alexander, Baker and Clark",University of Madras,"170 Brittany Skyway
Port Michelle, NC 33262",5129,Double,"AC, Laundry, Parking",4.2300985405010305,4.631343891033396,Eye protect late maintain knowledge will.,395-755-7941x32582,Burns-Massey,Kaylaview,Female-only,Not Available,Yes,1148,Included,172,5 min walk to bus stop,Yes,100 Mbps,Quarterly,Yes,"CCTV, Guard at Night",Yes
Salem,"Thompson, Hill and Johnson",Government College of Engineering Salem,"49800 Tonya Bridge Apt. 501
Scottbury, CA 01570",10406,Single,"Wi-Fi, Laundry",3.061098077900934,3.0992616457712208,Charge clearly someone.,(579)970-6618x448,Taylor-White,North Sarah,Male-only,Not Available,Yes,1022,Not Included,185,Near metro station,Yes,100 Mbps,Monthly,Yes,"CCTV, Guard at Night",No
Madurai,"Gonzalez, Conner and Logan",Madurai Kamaraj University,"21345 Brian Park Suite 135
Tapiaport, CA 85118",13135,Single,"Wi-Fi, Laundry",1.7820629690876588,4.630264714229399,Itself notice these.,646-878-8990,Roberts-Roman,Lake Tami,Female-only,Not Available,No,0,Included,139,5 min walk to bus stop,Yes,Unlimited,Monthly,No,"CCTV, Guard at Night",No
Vellore,"Zimmerman, Morrison and Morales",VIT Vellore,"406 Jessica Avenue Apt. 983
South Angela, KY 68260",14155,Single,"Wi-Fi, AC, Laundry, Kitchen",3.6278502150120797,4.958600065175931,Not personal toward need add.,001-821-798-5611x5654,"Rocha, Rhodes and Williams",South Ronald,Co-ed,Available,Yes,2486,Included,177,Near metro station,Yes,50 Mbps,Quarterly,Yes,CCTV,Yes
Erode,Foley-Jordan,The Gandhigram Rural Institute,"172 Collier Road Suite 359
Cherryfort, NH 78900",11142,Double,"Wi-Fi, AC, Laundry, Kitchen",4.241416651383444,3.140468745564317,Security data couple movie article.,(659)026-5050x72357,Mann Group,Port Edward,Male-only,Not Available,Yes,1728,Not Included,153,Near metro station,Yes,Unlimited,Monthly,No,CCTV,Yes
Vellore,Rodriguez PLC,VIT Vellore,"49464 Adam Light
New Mariastad, KS 89135",5696,Shared,"Wi-Fi, AC, Laundry, Kitchen",4.809889111962019,4.197429122105849,Game me study adult pressure network majority.,001-305-396-9323x7162,Suarez-Richards,South Tabitha,Co-ed,Available,Yes,2203,Included,183,5 min walk to bus stop,Yes,Unlimited,Quarterly,No,CCTV,No
Vellore,Reynolds-Mccormick,Vellore Institute of Technology University,"536 Virginia Villages Apt. 385
South Shelby, CT 11536",5371,Shared,"Wi-Fi, Laundry",4.726850890330978,3.6915390760285964,Very nature see they difference.,+1-893-204-9432,Cross LLC,Jeanetteland,Male-only,Available,No,0,Included,136,Near local train,No,Unlimited,Monthly,Yes,CCTV,Yes
Tiruchirappalli,"George, West and Rich",National Institute of Technology Tiruchirappalli,"9084 Terrell Cape Apt. 586
Stephaniemouth, AK 50891",14908,Double,"Wi-Fi, AC, Laundry, Kitchen",4.869891542081073,3.146959346623092,Bad according soon shake green enough.,(612)886-0656x151,Jordan LLC,East Lonnie,Male-only,Not Available,No,0,Not Included,179,Near metro station,No,Unlimited,Monthly,Yes,Security Guard,No
Salem,"Barnes, Haas and Maldonado",Dr. G.R. Damodaran College of Science,"9415 Nicholas Ways Apt. 702
Michellemouth, KY 83062",12062,Single,"AC, Laundry, Parking",3.7365298345500415,3.0111326065809547,Individual American learn no.,+1-255-999-4867,Russell-Mahoney,Lake Nancymouth,Female-only,Not Available,No,0,Included,194,Near metro station,Yes,100 Mbps,Quarterly,Yes,CCTV,Yes
Erode,"Ingram, Perez and Mann",Erode Arts and Science College,"648 Murillo Flats Suite 013
South Jennifer, OR 14086",11001,Single,"Wi-Fi, Laundry",3.3391031360795207,3.5239045754255662,Point mouth page five.,(751)569-2524x90118,"Phillips, Wells and Velazquez",Katelynshire,Co-ed,Not Available,No,0,Not Included,186,Near metro station,No,100 Mbps,Quarterly,No,Security Guard,No
Madurai,Williamson-Bryan,VIT Madurai,"4813 Bennett Plaza Apt. 631
North Andrewside, VA 72283",6699,Double,"AC, Laundry, Parking",4.002955299256777,3.707655948095425,New boy product turn share likely.,425-473-9369x620,Chambers-Mcdonald,South Chelsea,Male-only,Not Available,Yes,1292,Not Included,177,5 min walk to bus stop,Yes,Unlimited,Monthly,Yes,Security Guard,Yes
Coimbatore,Tran Ltd,PSG College of Technology,"840 Devin Ways Suite 223
Port Erikport, SD 61798",6456,Single,"AC, Laundry, Parking",1.8271301953989236,3.2215071549649363,Ok ball option they occur.,4120244600,Jones Inc,Dylanhaven,Female-only,Not Available,Yes,2392,Not Included,192,Near local train,No,50 Mbps,Monthly,Yes,Security Guard,No
Madurai,"Anderson, Mckinney and Zimmerman",VIT Madurai,"8637 Mia Square Suite 141
Port Steven, RI 93879",10416,Single,"Wi-Fi, Laundry",3.500706760476008,3.942231952977375,Though able very practice.,923.467.2903x53793,Walters LLC,Fosterport,Female-only,Available,Yes,1077,Included,166,Near metro station,Yes,Unlimited,Quarterly,Yes,"CCTV, Guard at Night",Yes
Tiruchirappalli,Barron and Sons,Anna University Tiruchirappalli,"6838 Travis Fields Suite 640
Randymouth, NJ 28013",14637,Single,"Wi-Fi, AC, Laundry, Kitchen",3.4145742194621116,4.609830184554175,Increase field those entire read style hospital.,001-260-251-5564x10991,Ross-Roberts,Lake Eric,Co-ed,Not Available,Yes,2909,Not Included,187,Near metro station,Yes,50 Mbps,Monthly,No,Security Guard,Yes
Salem,Reed-Thompson,Periyar University,"78941 Richard Meadows Apt. 734
Brookstown, GA 87339",11804,Double,"Wi-Fi, AC, Laundry, Kitchen",1.6837967735357449,4.987626648690049,Energy clearly lot soon oil moment state.,(096)173-7042,"Parker, Lawrence and Abbott",North Michaelville,Female-only,Not Available,No,0,Not Included,116,Near local train,Yes,100 Mbps,Monthly,Yes,"CCTV, Guard at Night",Yes
Salem,Day-Thompson,Government College of Engineering Salem,"631 Lee Mountain
Cynthialand, SC 45270",14964,Shared,"Wi-Fi, Laundry",3.0401111976786943,3.4456036361371947,Wide figure among mouth story age.,0192554254,Sandoval-Wilson,Lake Christinemouth,Female-only,Available,Yes,1143,Included,176,Near metro station,Yes,100 Mbps,Monthly,No,CCTV,No
Vellore,Lopez-Baird,Vellore Institute of Technology University,"9629 Hamilton Cape Apt. 377
Jessicafort, TN 15076",11899,Single,"AC, Laundry, Parking",3.172131144246836,4.650491882498237,Major evening month easy area each.,(770)441-1786x2366,"White, Graham and Huynh",Lake Sharonberg,Female-only,Available,No,0,Not Included,187,Near metro station,No,100 Mbps,Quarterly,No,Security Guard,Yes
Coimbatore,Hawkins Ltd,Coimbatore Institute of Technology,"PSC 9116, Box 9855
APO AA 12162",14685,Double,"AC, Laundry, Parking",1.811337445401541,4.299679061520492,Thing less story hour section meet medical above.,(862)318-6082,"Bryant, Grant and Collins",Brownside,Male-only,Not Available,Yes,1943,Not Included,123,5 min walk to bus stop,Yes,Unlimited,Quarterly,No,Security Guard,Yes
Chennai,"Middleton, Blankenship and Dawson",Anna University,"5132 Murphy Brooks Suite 152
Jenniferbury, UT 14531",6452,Single,"AC, Laundry, Parking",1.7157084032072065,3.5125632822333452,Size often under suggest share away.,320.912.9556x27717,"Gonzalez, Harvey and Mejia",North Matthewburgh,Female-only,Available,Yes,1418,Included,145,Near local train,No,Unlimited,Quarterly,No,Security Guard,No
Salem,Hamilton PLC,Periyar University,"83884 Ballard Points
Lake Michele, WY 67636",10115,Shared,"AC, Laundry, Parking",3.873263257287177,4.993395794684514,Stage also wide.,+1-702-744-3089x122,Harrison Group,Matthewfort,Co-ed,Available,No,0,Included,138,Near local train,No,50 Mbps,Monthly,Yes,"CCTV, Guard at Night",No
Chennai,Jensen-Pugh,SRM Institute of Science and Technology,"8721 Christina Estate Apt. 133
Patriciamouth, NE 85535",14451,Shared,"Wi-Fi, Laundry",4.435096446429512,3.5414493151730033,Scientist not matter tell south town.,001-006-696-8193x31024,"Cervantes, White and Williams",Tannerberg,Female-only,Not Available,No,0,Not Included,103,Near local train,Yes,100 Mbps,Quarterly,Yes,Security Guard,Yes
Erode,Brown-Gonzalez,The Gandhigram Rural Institute,"59049 David Brook Apt. 540
West Misty, AK 64002",7586,Double,"Wi-Fi, Laundry",2.4606651711951617,3.279822190290486,Should reflect production wonder.,+1-086-584-8332x97665,"Leon, Rogers and Cooley",North Christina,Female-only,Available,No,0,Included,110,Near local train,No,Unlimited,Monthly,Yes,"CCTV, Guard at Night",No
Coimbatore,"Foster, Graham and Johnson",Tamil Nadu Agricultural University,"23646 Julia Camp Apt. 869
New Hannah, AR 38987",8331,Double,"Wi-Fi, AC, Laundry, Kitchen",3.8389241551577435,4.962028169607536,Cold open trade stay other writer hard high.,001-911-092-2418,Rosario Group,Jessefurt,Female-only,Available,Yes,2041,Included,102,5 min walk to bus stop,No,Unlimited,Quarterly,No,Security Guard,No
Chennai,Hancock-Hunter,University of Madras,"Unit 2405 Box 1469
DPO AE 75055",14125,Double,"Wi-Fi, AC, Laundry, Kitchen",2.456218562431521,4.10975359425942,Exist according after practice civil indicate.,+1-715-250-1615x388,Perry Ltd,Alexanderberg,Female-only,Available,Yes,1469,Included,197,5 min walk to bus stop,No,100 Mbps,Monthly,No,"CCTV, Guard at Night",Yes
Coimbatore,Malone-Brown,Tamil Nadu Agricultural University,"57505 Jordan Drives Apt. 561
Edwardsville, HI 73018",13542,Double,"AC, Laundry, Parking",3.228786555963833,3.7964366286307287,Least city administration big specific.,(310)073-4988,Livingston Group,Donaldton,Male-only,Not Available,No,0,Included,176,5 min walk to bus stop,No,50 Mbps,Quarterly,Yes,Security Guard,Yes
Salem,Cunningham-Oconnor,Government College of Engineering Salem,"22442 Jacobs Estate
Brettbury, OK 49658",12326,Single,"AC, Laundry, Parking",4.34388559542154,3.5608074883817333,As however arrive easy wait collection.,237.362.8365x2533,"Davis, Mcclure and Evans",New Jayside,Co-ed,Available,No,0,Not Included,151,Near metro station,Yes,Unlimited,Monthly,Yes,CCTV,No
Madurai,Hill-Moore,VIT Madurai,"7600 Donovan Spur
Port Thomasfort, VA 54575",8394,Shared,"AC, Laundry, Parking",4.26507405923657,3.6916578075558917,Former vote voice piece worker resource.,(565)729-0097x01769,"Hughes, Brewer and Harris",Burtonton,Male-only,Not Available,Yes,2959,Not Included,164,Near local train,Yes,Unlimited,Quarterly,No,"CCTV, Guard at Night",No
Coimbatore,"Church, Flynn and Hayes",PSG College of Technology,"21591 Penny Inlet Suite 474
Robertsonport, CT 57012",14968,Shared,"Wi-Fi, Laundry",1.2083640054557816,4.769391027630183,Figure voice analysis can read item.,0508943296,"Colon, Orozco and Rodriguez",East Zacharyburgh,Male-only,Available,No,0,Not Included,157,Near metro station,No,50 Mbps,Monthly,No,CCTV,Yes
Salem,Williams Inc,Dr. G.R. Damodaran College of Science,"244 Thompson Road Suite 416
South Rodney, MS 66889",12262,Shared,"Wi-Fi, AC, Laundry, Kitchen",3.6330748804804593,3.2561587617848575,Military leave process none indicate including break Congress.,(657)955-4753,Little and Sons,West Amandatown,Female-only,Available,No,0,Included,199,Near local train,No,100 Mbps,Quarterly,Yes,CCTV,Yes
Chennai,Sharp-Jackson,SRM Institute of Science and Technology,"42199 Richard Canyon
West Anthony, MN 47757",5951,Single,"AC, Laundry, Parking",3.737568131757822,4.196732026382047,Figure day happen company near.,074.636.5477,"Wilson, Rodriguez and Knight",Reyeshaven,Female-only,Not Available,No,0,Not Included,117,Near local train,No,Unlimited,Quarterly,Yes,CCTV,No
Tiruchirappalli,Spencer-Thompson,Anna University Tiruchirappalli,"81593 Gilmore Court
Port Aaronmouth, NE 35320",12775,Shared,"Wi-Fi, AC, Laundry, Kitchen",2.5759413294144573,4.31596481914056,Partner dog agreement.,(288)491-7872x972,Martinez-Leblanc,Lake Christopher,Male-only,Not Available,No,0,Included,139,Near metro station,No,50 Mbps,Monthly,Yes,"CCTV, Guard at Night",Yes
Vellore,Baker PLC,Vellore Institute of Technology University,"456 Harris Ville
East Pamela, AL 09600",10938,Shared,"Wi-Fi, AC, Laundry, Kitchen",4.294908873143198,4.072253398216102,Continue then maybe may body.,001-119-902-5615x5327,Estrada-Martin,Sandymouth,Female-only,Available,Yes,2441,Not Included,111,Near metro station,No,50 Mbps,Monthly,No,Security Guard,No
Coimbatore,Johnson-Garcia,Coimbatore Institute of Technology,"6241 Matthew Extension Suite 986
Port Maryfort, NC 53324",9907,Shared,"Wi-Fi, AC, Laundry, Kitchen",2.661702370767176,3.532005490517116,Management off investment course experience six.,5440636465,Hughes Group,East Benjaminbury,Co-ed,Available,No,0,Included,119,Near local train,Yes,Unlimited,Quarterly,No,Security Guard,Yes
Erode,Salinas PLC,The Gandhigram Rural Institute,"29368 Robert Mall Suite 003
New Danielle, MS 79388",5631,Shared,"Wi-Fi, Laundry",2.40275507589999,3.071007008164807,Right particularly up role relationship.,001-048-459-6310x74958,Sharp-Phillips,Port Richard,Female-only,Not Available,Yes,1236,Not Included,180,Near local train,Yes,100 Mbps,Quarterly,No,Security Guard,No
Chennai,Ritter-York,University of Madras,"0063 Carroll Street
Lake Amber, WY 86995",11110,Shared,"Wi-Fi, AC, Laundry, Kitchen",4.2945434830804405,4.713714626789559,Policy beyond enough head somebody.,(907)000-2681x177,Andrews and Sons,Mccoyside,Male-only,Not Available,No,0,Included,195,Near metro station,No,Unlimited,Monthly,Yes,CCTV,No
Vellore,Ruiz Ltd,VIT Vellore,"811 Heidi Vista Apt. 360
Lindachester, IN 35217",10152,Double,"Wi-Fi, Laundry",3.6754906805596548,4.758357758841153,Rich standard similar yard.,001-620-656-6154,"Morales, Blair and Flores",Lake Nicholas,Male-only,Not Available,No,0,Not Included,149,5 min walk to bus stop,No,50 Mbps,Quarterly,No,"CCTV, Guard at Night",No
Chennai,"Fischer, Ponce and Perez",Anna University,"1176 Victoria Spurs
North Johnny, AZ 81162",13672,Single,"AC, Laundry, Parking",3.6999379794897855,4.59410383225645,Positive they enter state three energy century.,457-408-0409x6406,"Perez, Jones and Baker",Josephburgh,Co-ed,Not Available,No,0,Not Included,113,Near local train,Yes,Unlimited,Monthly,No,CCTV,No
Madurai,"Lowe, Dodson and Page",Madurai Kamaraj University,"11809 Natasha Stream Apt. 463
North Steventown, OK 88972",13997,Double,"Wi-Fi, AC, Laundry, Kitchen",1.5939334340260083,3.419483637518825,Mean within need future remember.,001-170-337-6552x532,Davis and Sons,Fernandezmouth,Female-only,Not Available,Yes,1119,Included,153,Near metro station,Yes,100 Mbps,Monthly,Yes,CCTV,Yes
Madurai,"Ward, Doyle and Koch",VIT Madurai,"5754 Rowland Mills
Shieldsfurt, WA 67004",8986,Single,"Wi-Fi, Laundry",2.7834429370641978,3.5090484283111136,Sense politics guy final teacher true.,+1-822-360-7082x813,Taylor PLC,Mitchellshire,Female-only,Not Available,No,0,Included,100,5 min walk to bus stop,No,Unlimited,Quarterly,No,"CCTV, Guard at Night",No
Tiruchirappalli,"Evans, Hernandez and Carlson",National Institute of Technology Tiruchirappalli,"136 Valdez Island Suite 671
South Sarah, OH 92096",14943,Single,"Wi-Fi, AC, Laundry, Kitchen",4.2576360552655075,3.9647212623728674,Watch support school sense scene although.,(213)258-9131,"Green, Wood and Robles",Sullivanton,Male-only,Available,Yes,1923,Included,143,Near metro station,No,Unlimited,Quarterly,Yes,Security Guard,No
Erode,Smith-Dixon,Erode Arts and Science College,"62569 Caleb Motorway Suite 868
East Davidside, VA 60609",10483,Single,"Wi-Fi, AC, Laundry, Kitchen",1.3215031029070876,3.350787893868234,Occur matter fish reality choose compare.,(246)106-4975x4023,Anderson LLC,West Marcusshire,Co-ed,Available,Yes,1404,Not Included,158,Near metro station,No,50 Mbps,Quarterly,Yes,Security Guard,No
Madurai,Ruiz-Williams,Madurai Kamaraj University,"8112 William Grove Suite 216
Robinsonchester, KY 07697",7615,Shared,"AC, Laundry, Parking",3.854760291034215,3.16062089137589,Black structure eight hope.,001-060-514-3714x8581,"Gonzalez, Gentry and Pierce",Port Sandraside,Co-ed,Available,Yes,1146,Included,193,Near local train,No,50 Mbps,Monthly,No,Security Guard,No
Erode,"Baker, Watson and Price",The Gandhigram Rural Institute,"3295 Jennifer Turnpike Suite 940
North Ryan, NY 68609",7215,Single,"Wi-Fi, Laundry",4.80884457578335,4.32947020143907,Nature view stay everything.,(299)244-1482,"Russo, Martinez and Anderson",East Robertchester,Co-ed,Not Available,No,0,Not Included,167,5 min walk to bus stop,Yes,50 Mbps,Quarterly,Yes,CCTV,Yes
Erode,Farrell LLC,The Gandhigram Rural Institute,"095 Paula Gateway
Grayfurt, RI 86512",5172,Single,"Wi-Fi, AC, Laundry, Kitchen",2.9105124414867345,3.75006813002411,Seven by wife owner music interest young allow.,(773)837-3217x6688,"Allen, Hansen and Rivera",West Kristina,Male-only,Not Available,No,0,Included,136,5 min walk to bus stop,Yes,50 Mbps,Monthly,No,Security Guard,No
Madurai,Santos-Davila,Tamil Nadu Medical University,"928 Todd Mountains
East Daniel, MD 22397",8998,Double,"Wi-Fi, AC, Laundry, Kitchen",1.3445440889211175,4.211797722086948,Guy admit effort story.,970.101.5968x939,Reese-Peterson,Danielstad,Male-only,Available,Yes,1684,Not Included,117,5 min walk to bus stop,No,100 Mbps,Monthly,No,Security Guard,Yes
Erode,Hart and Sons,Erode Arts and Science College,"638 Michael Haven
West Stevenview, ID 62986",6229,Double,"Wi-Fi, Laundry",3.8303690989931427,3.64712474981527,Nation see can too so material everything.,001-721-343-7820x947,Romero Inc,North Lynn,Co-ed,Available,Yes,2030,Included,115,Near local train,Yes,50 Mbps,Monthly,Yes,Security Guard,No
Chennai,"Wallace, Black and Carroll",VIT University,"69072 Le Mission Apt. 810
Colemanchester, MS 33009",5803,Double,"Wi-Fi, AC, Laundry, Kitchen",4.683488280276079,3.313252325407203,Take little more trial.,(166)714-7945x754,Wise-Rogers,Jonesburgh,Female-only,Available,No,0,Included,154,Near metro station,Yes,50 Mbps,Quarterly,No,CCTV,Yes
Madurai,Cooper Ltd,VIT Madurai,"0428 Morgan Passage
Carlachester, WA 16971",9072,Double,"Wi-Fi, Laundry",2.47769685166611,4.4122658603025355,Group out avoid blue one discover.,+1-230-008-7441,Williams-Bowers,New Jacobberg,Female-only,Not Available,Yes,2333,Not Included,120,Near local train,Yes,100 Mbps,Quarterly,No,Security Guard,Yes
Salem,"Wong, Mora and Sanchez",Government College of Engineering Salem,"7690 Richard River Suite 901
New Victoriafort, TN 60434",14912,Shared,"AC, Laundry, Parking",2.0341705142362834,3.404767661394297,History design sea soon recognize fight.,941.945.1987x20980,Kelly Group,East Audrey,Co-ed,Available,No,0,Not Included,199,Near local train,No,50 Mbps,Monthly,Yes,Security Guard,No
Coimbatore,Hatfield LLC,Coimbatore Institute of Technology,"14706 Kayla Keys
Andersonstad, RI 68972",10407,Single,"Wi-Fi, AC, Laundry, Kitchen",1.9912997351359225,3.7823669298482,Notice different off field.,743.690.4557x9316,Chavez Group,Kimberlyton,Male-only,Available,Yes,2481,Included,152,Near metro station,No,50 Mbps,Quarterly,No,CCTV,No
Coimbatore,"Romero, Powell and Acevedo",Tamil Nadu Agricultural University,"7242 Taylor Roads Apt. 542
West Felicia, NV 46591",12913,Shared,"Wi-Fi, Laundry",3.8920536109697896,3.6303565051104636,If some writer eat.,+1-647-232-1442x410,Hernandez and Sons,Kristenshire,Male-only,Not Available,No,0,Not Included,138,Near local train,No,Unlimited,Quarterly,Yes,CCTV,No
Vellore,Taylor-Cortez,VIT Vellore,"910 Daniel Via
Port Katherine, WV 95801",5635,Double,"Wi-Fi, Laundry",2.098611425614035,3.8930252070632063,Scientist since treatment join.,(714)091-2541x8941,"Bell, Garcia and Mcdowell",Newmanport,Male-only,Available,No,0,Included,182,Near metro station,No,Unlimited,Quarterly,No,Security Guard,No
